participant,session,date,expName,psychopyVersion,OS,frameRate,rating_all.response,rating_all.rt,rating_all.tStart,rndRat1.thisRepN,rndRat1.thisTrialN,rndRat1.thisN,rndRat1.thisIndex,rndRat1.ran,Emo,Labs,Labs2,rating_alt.response,rating_alt.rt,AltC.thisRepN,AltC.thisTrialN,AltC.thisN,AltC.thisIndex,AltC.ran,alt_choices,pic_choices,TopAlt_Choice,rndRat2.thisRepN,rndRat2.thisTrialN,rndRat2.thisN,rndRat2.thisIndex,rndRat2.ran,rndRat3.thisRepN,rndRat3.thisTrialN,rndRat3.thisN,rndRat3.thisIndex,rndRat3.ran,trials_FC_H.thisRepN,trials_FC_H.thisTrialN,trials_FC_H.thisN,trials_FC_H.thisIndex,trials_FC_H.ran
MDPRF36545,DF069C2D-E777-487B-B6B8-150974089D8A,2023-10-30_17h55.21.477,VExplicitOC_RO,2022.2.5,Win32,60.06727535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF36545,DF069C2D-E777-487B-B6B8-150974089D8A,2023-10-30_17h55.21.477,VExplicitOC_RO,2022.2.5,Win32,60.06727535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF36545,DF069C2D-E777-487B-B6B8-150974089D8A,2023-10-30_17h55.21.477,VExplicitOC_RO,2022.2.5,Win32,60.06727535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF36545,DF069C2D-E777-487B-B6B8-150974089D8A,2023-10-30_17h55.21.477,VExplicitOC_RO,2022.2.5,Win32,60.06727535,-31.05122433,5.511,2.0118,0,0,0,1,1,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF36545,DF069C2D-E777-487B-B6B8-150974089D8A,2023-10-30_17h55.21.477,VExplicitOC_RO,2022.2.5,Win32,60.06727535,-29.20128009,5.3815,2.0153,0,1,1,2,1,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF36545,DF069C2D-E777-487B-B6B8-150974089D8A,2023-10-30_17h55.21.477,VExplicitOC_RO,2022.2.5,Win32,60.06727535,-13.10671065,4.7863,2.0147,0,2,2,0,1,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF36545,DF069C2D-E777-487B-B6B8-150974089D8A,2023-10-30_17h55.21.477,VExplicitOC_RO,2022.2.5,Win32,60.06727535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF36545,DF069C2D-E777-487B-B6B8-150974089D8A,2023-10-30_17h55.21.477,VExplicitOC_RO,2022.2.5,Win32,60.06727535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF36545,DF069C2D-E777-487B-B6B8-150974089D8A,2023-10-30_17h55.21.477,VExplicitOC_RO,2022.2.5,Win32,60.06727535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF36545,DF069C2D-E777-487B-B6B8-150974089D8A,2023-10-30_17h55.21.477,VExplicitOC_RO,2022.2.5,Win32,60.06727535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
