participant,session,date,expName,psychopyVersion,OS,frameRate,rating_all.response,rating_all.rt,rating_all.tStart,rndRat1.thisRepN,rndRat1.thisTrialN,rndRat1.thisN,rndRat1.thisIndex,rndRat1.ran,Emo,Labs,Labs2,rating_alt.response,rating_alt.rt,AltC.thisRepN,AltC.thisTrialN,AltC.thisN,AltC.thisIndex,AltC.ran,alt_choices,pic_choices,TopAlt_Choice,rndRat2.thisRepN,rndRat2.thisTrialN,rndRat2.thisN,rndRat2.thisIndex,rndRat2.ran,rndRat3.thisRepN,rndRat3.thisTrialN,rndRat3.thisN,rndRat3.thisIndex,rndRat3.ran,trials_FC_H.thisRepN,trials_FC_H.thisTrialN,trials_FC_H.thisN,trials_FC_H.thisIndex,trials_FC_H.ran
MDPRF76693,E2A19A9B-4890-4DAC-90A1-9A08FF9A27DF,2023-10-30_18h01.17.750,VExplicitOC_RO,2022.2.5,Win32,60.55468088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF76693,E2A19A9B-4890-4DAC-90A1-9A08FF9A27DF,2023-10-30_18h01.17.750,VExplicitOC_RO,2022.2.5,Win32,60.55468088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF76693,E2A19A9B-4890-4DAC-90A1-9A08FF9A27DF,2023-10-30_18h01.17.750,VExplicitOC_RO,2022.2.5,Win32,60.55468088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF76693,E2A19A9B-4890-4DAC-90A1-9A08FF9A27DF,2023-10-30_18h01.17.750,VExplicitOC_RO,2022.2.5,Win32,60.55468088,-100,3.9616,2.0134,0,0,0,1,1,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF76693,E2A19A9B-4890-4DAC-90A1-9A08FF9A27DF,2023-10-30_18h01.17.750,VExplicitOC_RO,2022.2.5,Win32,60.55468088,-100,2.7515,2.0133,0,1,1,2,1,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF76693,E2A19A9B-4890-4DAC-90A1-9A08FF9A27DF,2023-10-30_18h01.17.750,VExplicitOC_RO,2022.2.5,Win32,60.55468088,-98.51851993,2.9797,2.0089,0,2,2,0,1,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF76693,E2A19A9B-4890-4DAC-90A1-9A08FF9A27DF,2023-10-30_18h01.17.750,VExplicitOC_RO,2022.2.5,Win32,60.55468088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF76693,E2A19A9B-4890-4DAC-90A1-9A08FF9A27DF,2023-10-30_18h01.17.750,VExplicitOC_RO,2022.2.5,Win32,60.55468088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF76693,E2A19A9B-4890-4DAC-90A1-9A08FF9A27DF,2023-10-30_18h01.17.750,VExplicitOC_RO,2022.2.5,Win32,60.55468088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF76693,E2A19A9B-4890-4DAC-90A1-9A08FF9A27DF,2023-10-30_18h01.17.750,VExplicitOC_RO,2022.2.5,Win32,60.55468088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
