participant,session,date,expName,psychopyVersion,OS,frameRate,rating_all.response,rating_all.rt,rating_all.tStart,rndRat1.thisRepN,rndRat1.thisTrialN,rndRat1.thisN,rndRat1.thisIndex,rndRat1.ran,Emo,Labs,Labs2,rating_alt.response,rating_alt.rt,AltC.thisRepN,AltC.thisTrialN,AltC.thisN,AltC.thisIndex,AltC.ran,alt_choices,pic_choices,TopAlt_Choice,rndRat2.thisRepN,rndRat2.thisTrialN,rndRat2.thisN,rndRat2.thisIndex,rndRat2.ran,rndRat3.thisRepN,rndRat3.thisTrialN,rndRat3.thisN,rndRat3.thisIndex,rndRat3.ran,trials_FC_H.thisRepN,trials_FC_H.thisTrialN,trials_FC_H.thisN,trials_FC_H.thisIndex,trials_FC_H.ran
MDPRF47480,2E2742C6-BEEC-4073-8353-A235B813E106,2023-10-30_18h04.00.058,VExplicitOC_RO,2022.2.5,Win32,146.113384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF47480,2E2742C6-BEEC-4073-8353-A235B813E106,2023-10-30_18h04.00.058,VExplicitOC_RO,2022.2.5,Win32,146.113384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF47480,2E2742C6-BEEC-4073-8353-A235B813E106,2023-10-30_18h04.00.058,VExplicitOC_RO,2022.2.5,Win32,146.113384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF47480,2E2742C6-BEEC-4073-8353-A235B813E106,2023-10-30_18h04.00.058,VExplicitOC_RO,2022.2.5,Win32,146.113384,100,3.4227,2,0,0,0,1,1,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF47480,2E2742C6-BEEC-4073-8353-A235B813E106,2023-10-30_18h04.00.058,VExplicitOC_RO,2022.2.5,Win32,146.113384,93.91124871,3.4095,2.006,0,1,1,0,1,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF47480,2E2742C6-BEEC-4073-8353-A235B813E106,2023-10-30_18h04.00.058,VExplicitOC_RO,2022.2.5,Win32,146.113384,70.38183695,4.0882,2.2585,0,2,2,2,1,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF47480,2E2742C6-BEEC-4073-8353-A235B813E106,2023-10-30_18h04.00.058,VExplicitOC_RO,2022.2.5,Win32,146.113384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF47480,2E2742C6-BEEC-4073-8353-A235B813E106,2023-10-30_18h04.00.058,VExplicitOC_RO,2022.2.5,Win32,146.113384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF47480,2E2742C6-BEEC-4073-8353-A235B813E106,2023-10-30_18h04.00.058,VExplicitOC_RO,2022.2.5,Win32,146.113384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF47480,2E2742C6-BEEC-4073-8353-A235B813E106,2023-10-30_18h04.00.058,VExplicitOC_RO,2022.2.5,Win32,146.113384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
