"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others.Quantised","Multiple.Choice.Grid.object.2.Often.lose.temper","Multiple.Choice.Grid.object.2.Often.lose.temper.Quantised","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time.Quantised","Multiple.Choice.Grid.object.2.Angry.most.of.the.time","Multiple.Choice.Grid.object.2.Angry.most.of.the.time.Quantised","Multiple.Choice.Grid.object.2.Get.angry.frequently","Multiple.Choice.Grid.object.2.Get.angry.frequently.Quantised","Multiple.Choice.Grid.object.2.Lose.temper.easily","Multiple.Choice.Grid.object.2.Lose.temper.easily.Quantised","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems.Quantised","Random_ID"
"1",1707929462323,"14/02/2024 16:51:02",1707929462323,0,"14/02/2024 16:51:02",163173,5,"questionnaire-79c5",NA,35147853,10387172,NA,"complete",NA,"65ccedc52a3ceca2b3cf12bd","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"ARI",2,"In","ABLCKDJEIFHG",NA,"In",3,"Somewhat true","2","Certainly true","3","Somewhat true","2","Certainly true","3","Somewhat true","2","Certainly true","3","Certainly true","3","MDPRF13138"
"1",1707929738684,"14/02/2024 16:55:38",1707929738684,0,"14/02/2024 16:55:38",163173,5,"questionnaire-79c5",NA,35148240,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"ARI",2,"In","BCADLEKFJGIH",NA,"In",2,"Certainly true","3","Certainly true","3","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","MDPRF63569"
"1",1707930590382,"14/02/2024 17:09:50",1707930590382,0,"14/02/2024 17:09:50",163173,5,"questionnaire-79c5",NA,35149407,10387326,NA,"complete",NA,"65ccf0a22a3ceca2b3cf1375","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,0,"ARI",2,"In","CDBEAFLGKHJI",NA,"In",4,"Certainly true","3","Certainly true","3","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","MDPRF73191"
"1",1707930634464,"14/02/2024 17:10:34",1707930634464,0,"14/02/2024 17:10:34",163173,5,"questionnaire-79c5",NA,35149457,10387416,NA,"complete",NA,"65ccf21a22345f20629be59e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1470x956","1470x765",NA,NA,0,"ARI",2,"In","FGEHDICJBKAL",NA,"In",4,"Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","MDPRF99152"
"1",1707930772574,"14/02/2024 17:12:52",1707930772574,0,"14/02/2024 17:12:52",163173,5,"questionnaire-79c5",NA,35149649,10387405,NA,"complete",NA,"65ccf1d0bc4382242747e329","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x641",NA,NA,0,"ARI",2,"In","GHFIEJDKCLBA",NA,"In",1,"Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","Somewhat true","2","MDPRF47263"
"1",1707930780807,"14/02/2024 17:13:00",1707930780807,0,"14/02/2024 17:13:00",163173,5,"questionnaire-79c5",NA,35149658,10387373,NA,"complete",NA,"65ccf14d7ceb9cd7d4dfa1ae","computer","Desktop or Laptop","Chromium OS 14816.131.0","Chrome 103.0.0.0","1536x864","1536x714",NA,NA,0,"ARI",2,"In","EFDGCHBIAJLK",NA,"In",1,"Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF79833"
"1",1707930972279,"14/02/2024 17:16:12",1707930972279,0,"14/02/2024 17:16:12",163173,5,"questionnaire-79c5",NA,35149894,10387342,NA,"complete",NA,"65ccf0d7a3af9ad5691c1ee2","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"ARI",2,"In","DECFBGAHLIKJ",NA,"In",2,"Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF12765"
"1",1707930591278,"14/02/2024 17:09:51",1707930591278,0,"14/02/2024 17:09:51",163173,5,"questionnaire-79c5",NA,35149418,10387501,NA,"complete",NA,"65ccf3b1079131ffd5cbe632","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x815",NA,NA,0,"ARI",2,"In","KLJAIBHCGDFE",NA,"In",1,"Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","MDPRF88213"
"1",1707930657407,"14/02/2024 17:10:57",1707930657407,0,"14/02/2024 17:10:57",163173,5,"questionnaire-79c5",NA,35149485,10387499,NA,"complete",NA,"65ccf3430ed0fd86d10054a7","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","958x943",NA,NA,0,"ARI",2,"In","JKILHAGBFCED",NA,"In",1,"Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","MDPRF01065"
"1",1707930706934,"14/02/2024 17:11:46",1707930706934,0,"14/02/2024 17:11:46",163173,5,"questionnaire-79c5",NA,35149558,10387477,NA,"complete",NA,"65ccf353b2a96acb3c9be840","computer","Desktop or Laptop","Windows 10","Edge 121.0.0.0","1280x720","1272x598",NA,NA,0,"ARI",2,"In","IJHKGLFAEBDC",NA,"In",3,"Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","MDPRF36184"
"1",1707930739770,"14/02/2024 17:12:19",1707930739770,0,"14/02/2024 17:12:19",163173,5,"questionnaire-79c5",NA,35149602,10387466,NA,"complete",NA,"65ccf2f9b0efb42d0625139b","computer","Desktop or Laptop","Windows 10","Opera 106.0.0.0","1920x1080","1879x970",NA,NA,0,"ARI",2,"In","HIGJFKELDACB",NA,"In",3,"Certainly true","3","Somewhat true","2","Certainly true","3","Certainly true","3","Certainly true","3","Somewhat true","2","Certainly true","3","MDPRF09500"
"1",1707930846915,"14/02/2024 17:14:06",1707930846915,0,"14/02/2024 17:14:06",163173,5,"questionnaire-79c5",NA,35149737,10387491,NA,"complete",NA,"65ccf38b7c8fa41cb1d4ae4d","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"ARI",2,"In","LAKBJCIDHEGF",NA,"In",4,"Somewhat true","2","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF23119"
"1",1707930859603,"14/02/2024 17:14:19",1707912859603,-5,"14/02/2024 07:14:19",163173,5,"questionnaire-79c5",NA,35149746,10387506,NA,"complete",NA,"65ccf3d9e62215312acf18ac","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1422x790",NA,NA,0,"ARI",2,"In","ABLCKDJEIFHG",NA,"In",4,"Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF13097"
"1",1707931250430,"14/02/2024 17:20:50",1707931250430,0,"14/02/2024 17:20:50",163173,5,"questionnaire-79c5",NA,35150214,10387524,NA,"complete",NA,"65ccf40ac163c204f747e289","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"ARI",2,"In","BCADLEKFJGIH",NA,"In",2,"Somewhat true","2","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF64836"
"1",1707932208298,"14/02/2024 17:36:48",1707932208298,0,"14/02/2024 17:36:48",163173,5,"questionnaire-79c5",NA,35151476,10387555,NA,"complete",NA,"65ccf482e1bae130ba2a80c2","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x800","1280x673",NA,NA,0,"ARI",2,"In","EFDGCHBIAJLK",NA,"In",4,"Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF54374"
"1",1707932827154,"14/02/2024 17:47:07",1707932827154,0,"14/02/2024 17:47:07",163173,5,"questionnaire-79c5",NA,35152130,10387526,NA,"complete",NA,"65ccf4349dae843a0d0f9880","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1920x1080","1703x844",NA,NA,0,"ARI",2,"In","DECFBGAHLIKJ",NA,"In",2,"Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF02797"
"1",1707931067139,"14/02/2024 17:17:47",1707931067139,0,"14/02/2024 17:17:47",163173,5,"questionnaire-79c5",NA,35150004,10387633,NA,"complete",NA,"65ccf57bc06aada397cbe508","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1470x956","1470x833",NA,NA,0,"ARI",2,"In","JKILHAGBFCED",NA,"In",3,"Somewhat true","2","Not true","1","Not true","1","Not true","1","Somewhat true","2","Somewhat true","2","Certainly true","3","MDPRF36379"
"1",1707931136128,"14/02/2024 17:18:56",1707931136128,0,"14/02/2024 17:18:56",163173,5,"questionnaire-79c5",NA,35150088,10387626,NA,"complete",NA,"65ccf540792c7d5ae6024ccb","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","2048x926",NA,NA,0,"ARI",2,"In","HIGJFKELDACB",NA,"In",2,"Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","MDPRF62405"
"1",1707931149392,"14/02/2024 17:19:09",1707931149392,0,"14/02/2024 17:19:09",163173,5,"questionnaire-79c5",NA,35150096,10387662,NA,"complete",NA,"65ccf5d589fa91e9c82510cc","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x779",NA,NA,0,"ARI",2,"In","KLJAIBHCGDFE",NA,"In",2,"Somewhat true","2","Somewhat true","2","Not true","1","Not true","1","Somewhat true","2","Somewhat true","2","Certainly true","3","MDPRF05446"
"1",1707931188876,"14/02/2024 17:19:48",1707931188876,0,"14/02/2024 17:19:48",163173,5,"questionnaire-79c5",NA,35150144,10387622,NA,"complete",NA,"65ccf525ad4f6da6f1dc487c","computer","Desktop or Laptop","Windows 10","Firefox 122.0","1366x768","1366x635",NA,NA,0,"ARI",2,"In","IJHKGLFAEBDC",NA,"In",1,"Certainly true","3","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF56705"
"1",1707931268415,"14/02/2024 17:21:08",1707931268415,0,"14/02/2024 17:21:08",163173,5,"questionnaire-79c5",NA,35150243,10387660,NA,"complete",NA,"65ccf5aec925b33add15f64a","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x551",NA,NA,0,"ARI",2,"In","LAKBJCIDHEGF",NA,"In",3,"Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF53772"
"1",1707931283827,"14/02/2024 17:21:23",1707931283827,0,"14/02/2024 17:21:23",163173,5,"questionnaire-79c5",NA,35150268,10387564,NA,"complete",NA,"65ccf48b8a8e9c826f9c5ecf","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x929",NA,NA,0,"ARI",2,"In","FGEHDICJBKAL",NA,"In",4,"Certainly true","3","Somewhat true","2","Somewhat true","2","Not true","1","Not true","1","Somewhat true","2","Somewhat true","2","MDPRF10666"
"1",1707931387697,"14/02/2024 17:23:07",1707931387697,0,"14/02/2024 17:23:07",163173,5,"questionnaire-79c5",NA,35150414,10387663,NA,"complete",NA,"65ccf5e94f2075e81ebd114e","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1600x1000","1600x912",NA,NA,0,"ARI",2,"In","ABLCKDJEIFHG",NA,"In",3,"Somewhat true","2","Somewhat true","2","Not true","1","Not true","1","Not true","1","Somewhat true","2","Not true","1","MDPRF96993"
"1",1707931414731,"14/02/2024 17:23:34",1707931414731,0,"14/02/2024 17:23:34",163173,5,"questionnaire-79c5",NA,35150450,10387604,NA,"complete",NA,"65ccf509ab1e0c50343ca407","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x695",NA,NA,0,"ARI",2,"In","GHFIEJDKCLBA",NA,"In",1,"Somewhat true","2","Certainly true","3","Not true","1","Not true","1","Somewhat true","2","Somewhat true","2","Not true","1","MDPRF41746"
"1",1707931579856,"14/02/2024 17:26:19",1707931579856,0,"14/02/2024 17:26:19",163173,5,"questionnaire-79c5",NA,35150656,10387761,NA,"complete",NA,"65ccf78ccc80b4427ad4af6b","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x960","1536x791",NA,NA,0,"ARI",2,"In","KLJAIBHCGDFE",NA,"In",3,"Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF84633"
"1",1707931647128,"14/02/2024 17:27:27",1707931647128,0,"14/02/2024 17:27:27",163173,5,"questionnaire-79c5",NA,35150763,10387748,NA,"complete",NA,"65ccf73ff4a81c34530b9eac","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x633",NA,NA,0,"ARI",2,"In","JKILHAGBFCED",NA,"In",1,"Somewhat true","2","Somewhat true","2","Not true","1","Not true","1","Not true","1","Somewhat true","2","Somewhat true","2","MDPRF71024"
"1",1707931669664,"14/02/2024 17:27:49",1707931669664,0,"14/02/2024 17:27:49",163173,5,"questionnaire-79c5",NA,35150786,10387725,NA,"complete",NA,"65ccf702018a2f91fd4de631","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x960","1536x825",NA,NA,0,"ARI",2,"In","HIGJFKELDACB",NA,"In",4,"Somewhat true","2","Somewhat true","2","Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF36650"
"1",1707931673692,"14/02/2024 17:27:53",1707931673692,0,"14/02/2024 17:27:53",163173,5,"questionnaire-79c5",NA,35150787,10387752,NA,"complete",NA,"65ccf73689fa91e9c8251121","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1371x749",NA,NA,0,"ARI",2,"In","IJHKGLFAEBDC",NA,"In",2,"Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF15001"
"1",1707931676567,"14/02/2024 17:27:56",1707931676567,0,"14/02/2024 17:27:56",163173,5,"questionnaire-79c5",NA,35150797,10387669,NA,"complete",NA,"65ccf5c37b5daf953908dda9","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x551",NA,NA,0,"ARI",2,"In","BCADLEKFJGIH",NA,"In",1,"Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","Not true","1","Not true","1","Somewhat true","2","MDPRF66727"
"1",1707931713567,"14/02/2024 17:28:33",1707931713567,0,"14/02/2024 17:28:33",163173,5,"questionnaire-79c5",NA,35150854,10387759,NA,"complete",NA,"65ccf78189fa91e9c8251131","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"ARI",2,"In","LAKBJCIDHEGF",NA,"In",3,"Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF32156"
"1",1707931760260,"14/02/2024 17:29:20",1707931760260,0,"14/02/2024 17:29:20",163173,5,"questionnaire-79c5",NA,35150918,10387699,NA,"complete",NA,"65ccf65e82d02149b515f608","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 17.0","1440x900","960x546",NA,NA,0,"ARI",2,"In","FGEHDICJBKAL",NA,"In",2,"Certainly true","3","Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","Certainly true","3","MDPRF54733"
"1",1707931833205,"14/02/2024 17:30:33",1707931833205,0,"14/02/2024 17:30:33",163173,5,"questionnaire-79c5",NA,35151001,10387698,NA,"complete",NA,"65ccf677d89ea75f23a6f20f","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x551",NA,NA,0,"ARI",2,"In","EFDGCHBIAJLK",NA,"In",3,"Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF62264"
"1",1707931934487,"14/02/2024 17:32:14",1707913934487,-5,"14/02/2024 07:32:14",163173,5,"questionnaire-79c5",NA,35151128,10387701,NA,"complete",NA,"65ccf68189fa91e9c82510f1","computer","Desktop or Laptop","Windows 10","Firefox 122.0","1536x864","1536x739",NA,NA,0,"ARI",2,"In","GHFIEJDKCLBA",NA,"In",2,"Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF94910"
"1",1707932059488,"14/02/2024 17:34:19",1707932059488,0,"14/02/2024 17:34:19",163173,5,"questionnaire-79c5",NA,35151284,10387755,NA,"complete",NA,"65ccf787f963d201475b6eff","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,0,"ARI",2,"In","FGEHDICJBKAL",NA,"In",4,"Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF06162"
"1",1707932075418,"14/02/2024 17:34:35",1707932075418,0,"14/02/2024 17:34:35",163173,5,"questionnaire-79c5",NA,35151307,10387681,NA,"complete",NA,"65ccf64655a9a46df1623885","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1185x728",NA,NA,0,"ARI",2,"In","DECFBGAHLIKJ",NA,"In",1,"Certainly true","3","Not true","1","Somewhat true","2","Not true","1","Not true","1","Somewhat true","2","Somewhat true","2","MDPRF48256"
"1",1707932127687,"14/02/2024 17:35:27",1707932127687,0,"14/02/2024 17:35:27",163173,5,"questionnaire-79c5",NA,35151375,10387753,NA,"complete",NA,"65ccf76e377ad148b585a8c3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x815",NA,NA,0,"ARI",2,"In","CDBEAFLGKHJI",NA,"In",2,"Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF88210"
"1",1707933917743,"14/02/2024 18:05:17",1707937517743,1,"14/02/2024 20:05:17",163173,5,"questionnaire-79c5",NA,35153188,10387747,NA,"complete",NA,"65ccf6917c8fa41cb1d4af26","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1920x1243","1920x1080",NA,NA,0,"ARI",2,"In","GHFIEJDKCLBA",NA,"In",3,"Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF00664"
"1",1707931912911,"14/02/2024 17:31:52",1707931912911,0,"14/02/2024 17:31:52",163173,5,"questionnaire-79c5",NA,35151107,10387834,NA,"complete",NA,"65ccf8daaa631da9ca8f473b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","2560x1440","2560x1243",NA,NA,0,"ARI",2,"In","KLJAIBHCGDFE",NA,"In",1,"Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","Not true","1","MDPRF37738"
"1",1707931915369,"14/02/2024 17:31:55",1707967915369,10,"15/02/2024 13:31:55",163173,5,"questionnaire-79c5",NA,35151110,10387823,NA,"complete",NA,"65ccf8b365e6e71ce098f195","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x607",NA,NA,0,"ARI",2,"In","JKILHAGBFCED",NA,"In",4,"Somewhat true","2","Certainly true","3","Somewhat true","2","Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","MDPRF98941"
